2024-09-09 20:00:49.157 INFO  [restartedMain] org.example.logging.Application : Starting Application using Java 17.0.11 with PID 1396 (E:\SpringProject\spring\spring-boot-practice\spring-boot-logging\target\classes started by 86184 in E:\SpringProject\spring\spring-boot-practice)
2024-09-09 20:00:49.159 INFO  [restartedMain] org.example.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-09 20:00:49.187 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-09 20:00:49.187 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-09 20:00:49.762 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-09 20:00:49.772 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-09 20:00:49.773 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-09 20:00:49.816 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-09 20:00:49.817 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 628 ms
2024-09-09 20:00:50.009 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-09 20:00:50.034 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-09 20:00:50.040 INFO  [restartedMain] org.example.logging.Application : Started Application in 1.181 seconds (process running for 1.616)
2024-09-09 20:04:23.992 INFO  [File Watcher] org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener : Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2024-09-09 20:06:22.733 INFO  [restartedMain] org.example.logging.Application : Starting Application using Java 17.0.11 with PID 30316 (E:\SpringProject\spring\spring-boot-practice\spring-boot-logging\target\classes started by 86184 in E:\SpringProject\spring\spring-boot-practice)
2024-09-09 20:06:22.735 INFO  [restartedMain] org.example.logging.Application : No active profile set, falling back to 1 default profile: "default"
